iso3,survey_id,indicator,area_id,area_name,area_sort_order,year,age_group,estimate_smoothed
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y015_019,0.43580360731848006
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y015_019,0.00596440455723593
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y015_019,0.558231988124284
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y020_024,0.12812947400649122
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y020_024,0.05368192591365763
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y020_024,0.8181886000798512
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y025_029,0.07272742248536575
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y025_029,0.15795836399273924
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y025_029,0.769314213521895
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y030_034,0.06183314290436462
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y030_034,0.28465130944236045
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y030_034,0.6535155476532749
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y035_039,0.04650531426291466
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y035_039,0.352100260958092
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y035_039,0.6013944247789934
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y040_044,0.06431710809479331
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y040_044,0.40114415682446847
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y040_044,0.5345387350807382
GAB,GAB2012DHS,nosex12m,GAB_1_1gx,Estuaire-Libreville,2,2012,Y045_049,0.0659273636101792
GAB,GAB2012DHS,sexcohab,GAB_1_1gx,Estuaire-Libreville,2,2012,Y045_049,0.42066709879466496
GAB,GAB2012DHS,sexnonregplus,GAB_1_1gx,Estuaire-Libreville,2,2012,Y045_049,0.5134055375951558
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y015_019,0.4460029222585467
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y015_019,0.00761212490330189
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y015_019,0.5463849528381514
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y020_024,0.13106722209077326
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y020_024,0.06848020655673313
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y020_024,0.8004525713524936
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y025_029,0.07233097380707637
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y025_029,0.19591183181244531
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y025_029,0.7317571943804783
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y030_034,0.05935034562693921
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y030_034,0.34072738443860184
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y030_034,0.599922269934459
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y035_039,0.0438410710148419
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y035_039,0.4139394717736795
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y035_039,0.5422194572114786
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y040_044,0.05978519963927252
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y040_044,0.4650070828544669
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y040_044,0.4752077175062606
GAB,GAB2012DHS,nosex12m,GAB_1_2ty,Haut-Ogooue,3,2012,Y045_049,0.0609564673767715
GAB,GAB2012DHS,sexcohab,GAB_1_2ty,Haut-Ogooue,3,2012,Y045_049,0.4850478125276896
GAB,GAB2012DHS,sexnonregplus,GAB_1_2ty,Haut-Ogooue,3,2012,Y045_049,0.4539957200955388
