indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,nosex12m,sexcohab,sexnonreg,sexpaid12m,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,0,all,all,all,male,Y015_049,539,1470,694.3095298197945,0.15896261853351604,0.01729676517615488,0.1279128888365034,0.195856697624848
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,1,all,all,all,male,Y015_049,250,389,207.35801985453196,0.08813438009110594,0.02426571370188342,0.05076658741226955,0.14869875706598848
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,0,all,all,male,Y015_049,528,1530,748.3253422566436,0.13113072649445293,0.01535004156326613,0.10385974197866586,0.1642499405222658
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,1,all,all,male,Y015_049,250,329,157.29512814115492,0.1952953117863509,0.03381128220292232,0.13733053140690543,0.2700667177165449
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,0,all,male,Y015_049,421,765,377.6232284968972,0.1540980511350318,0.02117272434285995,0.11699843479809952,0.20029329103304128
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,1,all,male,Y015_049,471,1094,522.1091773338085,0.1369105493530827,0.01696864767506672,0.1069155931760548,0.17368400525792013
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,0,male,Y015_049,573,1812,878.3176756922811,0.1390644049796874,0.01349285968007314,0.11466338964850502,0.16767464901800222
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,1,male,Y015_049,46,47,20.468111890784183,0.35161145685023665,0.117209431635976,0.165257368530179,0.5976523329044141
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,all,male,Y015_049,575,1859,898.5356292440123,0.1444338121048151,0.01449950453858819,0.11826996068341328,0.1752353582273641
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,0,all,all,all,male,Y015_024,320,548,281.6127387556474,0.02681799121766787,0.00710386276749226,0.01590665309531334,0.0448727876269815
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,1,all,all,all,male,Y015_024,209,302,171.0910956126026,0.04786978540108031,0.02432038817381748,0.01736047129088963,0.12516657140965312
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,0,all,all,male,Y015_024,404,837,447.0636578149091,0.0351276459923341,0.01019974639953776,0.01978542232155093,0.06161883503051715
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,1,all,all,male,Y015_024,13,13,6.016111196977102,0,0,NA,NA
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,0,all,male,Y015_024,220,323,181.1245125689571,0.04643021859177919,0.02290729644239659,0.01735556855898019,0.11834567502417756
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,1,all,male,Y015_024,311,527,271.47495606550234,0.02689286965549644,0.00733445138516567,0.01570504622756825,0.04568069803671847
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,0,male,Y015_024,406,842,447.6259266117475,0.03412227091233495,0.01007941702054331,0.01903054123555012,0.06044470202056765
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,1,male,Y015_024,8,8,7.07130694697177,0.09099556883350896,0.09528440618672866,0.01036060650366928,0.4890646276590694
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,all,male,Y015_024,408,850,452.3865769691724,0.03450381768851313,0.01002519240300925,0.01942845126018232,0.06055442834105903
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,0,all,all,all,male,Y025_049,457,922,424.13297337484573,0.2258850725246868,0.02462891466492543,0.1812721795915282,0.2777527961648449
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,1,all,all,all,male,Y025_049,74,87,40.80504454785884,0.20834696391145888,0.06090484075957998,0.11318120628050005,0.3517886324916751
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,0,all,all,male,Y025_049,376,693,314.5035742173496,0.2357754997096817,0.02879213730032562,0.1840467090781649,0.29675561737352213
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,1,all,all,male,Y025_049,242,316,151.299551816139,0.20259922322967988,0.03495675287752308,0.14255560385684865,0.27968370069399695
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,0,all,male,Y025_049,315,442,208.78371204464335,0.2185815810674742,0.03032357766601882,0.16494120700007023,0.2837389973928172
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,1,all,male,Y025_049,337,567,257.3000946487822,0.22947675011754856,0.02912679587269578,0.1773902662141002,0.2914387723237311
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,0,male,Y025_049,470,970,448.2755937390874,0.21787395129453935,0.02175089336345068,0.17824639331017386,0.2634866473768617
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,1,male,Y025_049,38,39,16.75419020031527,0.3844060663350142,0.1285969453767727,0.17711788909942436,0.6443331018319152
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,all,male,Y025_049,477,1009,464.9308940599224,0.22432642457901864,0.02305105343673302,0.1823846279714214,0.2726964111118843
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,0,all,all,all,male,Y015_019,166,226,113.94044793527172,0.02630485472213006,0.01008634189781704,0.01233166140508778,0.0552259628342649
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,1,all,all,all,male,Y015_019,184,248,137.6031077091772,0.05556502733079222,0.0300244334046102,0.01880951359384103,0.15294829132805698
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,0,all,all,male,Y015_019,295,474,250.89011916910889,0.04156786930051764,0.01661921907829301,0.01878802543333403,0.08944961598865799
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,0,all,male,Y015_019,185,249,138.27994332190426,0.0553914737132457,0.02993560064123001,0.01874886586985196,0.15251700829301656
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,1,all,male,Y015_019,166,225,113.31391587412254,0.02639503539106013,0.01012238296646774,0.0123723103066974,0.05541923046965412
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,0,male,Y015_019,295,473,250.23839254446148,0.04163591839250402,0.01664535261051145,0.01881941614975424,0.08958915915921947
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,1,male,Y015_019,1,1,1,0,0,NA,NA
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,all,male,Y015_019,295,474,250.89011916910889,0.04156786930051764,0.01661921907829301,0.01878802543333403,0.08944961598865799
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,0,all,all,all,male,Y020_024,233,322,167.97638936816676,0.0271900141742147,0.00996185995021461,0.01318373557104988,0.05524342138754956
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,1,all,all,all,male,Y020_024,49,54,33.54144284838458,0.0176573654107414,0.012988564878214,0.00412551677415832,0.0723496420508346
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,0,all,all,male,Y020_024,259,363,196.25795072606377,0.02666309887555721,0.00889463593759691,0.01379998539650337,0.05089726788341561
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,1,all,all,male,Y020_024,13,13,6.016111196977102,0,0,NA,NA
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,0,all,male,Y020_024,66,74,43.02458539750424,0.01964906517350588,0.01188317551982225,0.00594662718110786,0.06292646238104578
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,1,all,male,Y020_024,222,302,158.5578717102197,0.02727715980256534,0.01048842694538111,0.01275726759717919,0.05736287240757815
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,0,male,Y020_024,262,369,197.392443870813,0.02453329329565093,0.00856700678191709,0.01231536069284823,0.04827998913675641
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,1,male,Y020_024,7,7,6.073058869316878,0.10530644792949696,0.11109989463799556,0.01153485945675562,0.5427867121397263
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,all,all,all,male,Y020_024,265,376,201.51585658558903,0.02559224390767053,0.00856175974604406,0.01322336529215935,0.04895673050867141
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,0,all,all,all,male,Y025_029,184,242,121.43900062074192,0.10356641316655452,0.02589317808722262,0.06268807895231109,0.16636972186544802
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,1,all,all,all,male,Y025_029,28,31,14.34427972987936,0.09388164502886376,0.08422863493974753,0.014661463159248,0.4190906926029785
prevalence,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,all,0,all,all,male,Y025_029,184,235,114.6035696483924,0.10067574543865294,0.02771876909462434,0.05787896868602035,0.16942641612045883
